name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Meat Up Chicken Flavour Real Chicken Dog Biscuit For All Life Stages\, 1kg (Buy 1 Get 1 Free)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81eKrwo4VKL._AC_UL320_.jpg,https://www.amazon.in/Meatup-Chicken-Flavour-Biscuit-Treats/dp/B079T88XLM/ref=sr_1_1?qid=1679214629&s=pet-supplies&sr=1-1,4.2,36349,28.0,49.0
"Purepet Ocean Fish Adult Dry Cat Food\, 1.2kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71N9qXb6rCL._AC_UL320_.jpg,https://www.amazon.in/Purepet-Adult-Food-Ocean-Fish/dp/B075B1JNWV/ref=sr_1_2?qid=1679214629&s=pet-supplies&sr=1-2,4.2,14162,79.0,39.0
"Purepet Mackerel Adult Dry Cat Food\, 1.2 kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71CZOKVVeVL._AC_UL320_.jpg,https://www.amazon.in/Purepet-Mackerel-Adult-Cat-Food/dp/B07DVHCPQ5/ref=sr_1_3?qid=1679214629&s=pet-supplies&sr=1-3,4.2,10211,85.0,39.0
"Drools Chicken and Egg Adult Dry Dog Food\, 3 kg with Free 1.2 kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71NrhVNqHhL._AC_UL320_.jpg,https://www.amazon.in/Drools-Chicken-Adult-Food-Free/dp/B07HBMB3WW/ref=sr_1_4?qid=1679214629&s=pet-supplies&sr=1-4,4.2,13418,15.0,99.0
"Pedigree Adult Dry Dog Food\, Chicken & Vegetables Flavour\, 3kg Pack",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61Gm70FJSxL._AC_UL320_.jpg,https://www.amazon.in/Pedigree-Adult-Food-Chicken-Vegetables/dp/B00LHS8I3A/ref=sr_1_5?qid=1679214629&rdc=1&s=pet-supplies&sr=1-5,4.4,19718,96.0,10.0
"Pedigree Adult Wet Dog Food\, Chicken and Liver Chunks Flavour in Gravy with Vegetables\, 15 Pouches (15 x 70g)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61AVZoaBbXL._AC_UL320_.jpg,https://www.amazon.in/Pedigree-Adult-Chicken-Liver-Chunks/dp/B0849982T8/ref=sr_1_6?qid=1679214629&s=pet-supplies&sr=1-6,4.5,11543,60.0,50.0
"Pedigree Puppy Dry Dog Food\, Chicken & Milk\, 3kg Pack",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61IUJIyK2yL._AC_UL320_.jpg,https://www.amazon.in/Pedigree-Puppy-Food-Chicken-Milk/dp/B00LHS8MX6/ref=sr_1_7?qid=1679214629&rdc=1&s=pet-supplies&sr=1-7,4.4,20750,46.0,60.0
"Drools Absolute Calcium Bone Jar\, Dog Treats For All Life Stages - 40 Pieces (600g)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/6140NhEjjiL._AC_UL320_.jpg,https://www.amazon.in/Drools-Absolute-Calcium-Bone-Supplement/dp/B07JQJFCS2/ref=sr_1_8?qid=1679214629&s=pet-supplies&sr=1-8,4.2,8856,91.0,60.0
"Drools Chicken and Egg Puppy Dry Dog Food\, 3kg with Free 1.2kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71ZTpFAClLL._AC_UL320_.jpg,https://www.amazon.in/Drools-Chicken-Puppy-Food-Free/dp/B07HBFY5VJ/ref=sr_1_9?qid=1679214629&s=pet-supplies&sr=1-9,4.0,10007,94.0,99.0
"Drools Optimum Performance Adult Dry Dog Food\, Chicken Flavor\, 10kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71PKpcLG-3L._AC_UL320_.jpg,https://www.amazon.in/Drools-Optimum-Performance-Adult-Food/dp/B019K89WTC/ref=sr_1_10?qid=1679214629&rdc=1&s=pet-supplies&sr=1-10,4.3,5978,231.0,499.0
"Drools Adult(+1 year) Dry Cat Food\, Ocean Fish\, 3 kg + 1.2 kg Free",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71Nhcr5zIfL._AC_UL320_.jpg,https://www.amazon.in/Drools-Adult-Food-Ocean-Fish/dp/B07MH3Z3WH/ref=sr_1_11?qid=1679214629&s=pet-supplies&sr=1-11,4.1,5180,64.0,99.0
"Pedigree Puppy Wet Dog Food\, Chicken in Gravy with Vegetables\, 15 Pouches (15 x 70g)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61h4IFyLZDL._AC_UL320_.jpg,https://www.amazon.in/Pedigree-Puppy-Chicken-Chunks-Gravy/dp/B08499CRPF/ref=sr_1_12?qid=1679214629&s=pet-supplies&sr=1-12,4.5,8057,,25.0
"Purepet Clumping Lavender Fragrance Cat Litter (For multiple cats)\, 5kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81HvmPl+2oS._AC_UL320_.jpg,https://www.amazon.in/Purepet-Clumping-Lavender-Fragrance-Multiple/dp/B098K5J2P9/ref=sr_1_13?qid=1679214629&s=pet-supplies&sr=1-13,3.6,1063,81.0,20.0
"Purepet Chicken & Vegetable Adult Dry Dog Food\, 20kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/717WiuxL2XL._AC_UL320_.jpg,https://www.amazon.in/Purepet-Adult-Food-Chicken-Vegetable/dp/B075PHPK27/ref=sr_1_14?qid=1679214629&rdc=1&s=pet-supplies&sr=1-14,4.0,6280,23.0,299.0
"Drools Adult Wet Dog Food\, Real Chicken and Chicken Liver Chunks in Gravy\, 24 Pouches (24 x 150g)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71fsINi8fRL._AC_UL320_.jpg,https://www.amazon.in/Drools-Adult-Chicken-Chunks-Pouches/dp/B0895LGTBJ/ref=sr_1_15?qid=1679214629&s=pet-supplies&sr=1-15,4.2,5203,14.0,40.0
"Whiskas Adult Dry Cat Food (1+ Years)\, Ocean Fish Flavour\, 3kg Pack",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61tJAIhYFYL._AC_UL320_.jpg,https://www.amazon.in/Whiskas-Adult-Food-Ocean-flavour/dp/B00LHULUTM/ref=sr_1_16?qid=1679214629&rdc=1&s=pet-supplies&sr=1-16,4.5,8985,1.0,60.0
"Whiskas Kitten Dry Cat Food (2-12 Months)\, Ocean Fish with Milk Flavour\, 3kg Pack",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61T8dZV5-cL._AC_UL320_.jpg,https://www.amazon.in/Whiskas-Kitten-months-Ocean-Flavour/dp/B07WJNGBSP/ref=sr_1_17?qid=1679214629&rdc=1&s=pet-supplies&sr=1-17,4.5,14417,3.0,180.0
"Pet Pattern Advance Cat Litter 10 KGS Litter 99.99% Dust Free",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71zgyrMjJ7L._AC_UL320_.jpg,https://www.amazon.in/Pattern-Advance-Litter-99-99-Dust/dp/B0BB9N3B61/ref=sr_1_18?qid=1679214629&s=pet-supplies&sr=1-18,4.1,528,66.0,598.0
"Whiskas Adult Wet Cat Food (1+Years)\, Salmon in Gravy Flavour\, 12 Pouches (12 x 85g)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61daAb0Hv2L._AC_UL320_.jpg,https://www.amazon.in/Whiskas-Adult-Salmon-Flavour-Pouches/dp/B09JGHD54D/ref=sr_1_19?qid=1679214629&s=pet-supplies&sr=1-19,4.5,2811,32.0,80.0
"Whiskas Kitten Wet Cat Food (2-12 Months)\, Tuna in Jelly Flavour\, 12 Pouches (12 x 85g)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61Nc+nz2CuL._AC_UL320_.jpg,https://www.amazon.in/Whiskas-Kittens-Months-Flavour-Pouches/dp/B09JGKJ7QF/ref=sr_1_20?qid=1679214629&s=pet-supplies&sr=1-20,4.4,516,32.0,80.0
"Purepet Tuna and Salmon Adult Cat Food\, 6 kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71lI3wiQ-OL._AC_UL320_.jpg,https://www.amazon.in/Purepet-Tuna-Salmon-Adult-Food/dp/B0BMGP6N59/ref=sr_1_21?qid=1679214629&s=pet-supplies&sr=1-21,4.2,2027,49.0,99.0
"Meat Up Kitten(1-12 months) Dry Cat Food\, Ocean Fish\, 1.2kg (Buy 1 Get 1 Free)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71PgHeI5xGL._AC_UL320_.jpg,https://www.amazon.in/Meat-Up-Kitten-Food-Free/dp/B07PWG6PMJ/ref=sr_1_22?qid=1679214629&s=pet-supplies&sr=1-22,4.1,7169,32.0,50.0
"Meat Up Munchy Sticks\, Chicken Flavour\, Dog Treats For All Life Stages\, 400g (Buy 1 Get 1 Free)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71A47+7BG5L._AC_UL320_.jpg,https://www.amazon.in/Meat-Up-Munchy-Chicken-Flavour/dp/B07YD19Q12/ref=sr_1_23?qid=1679214629&s=pet-supplies&sr=1-23,4.2,7503,37.0,49.0
"Pedigree Dentastix Oral Care Treats for Medium Breed Adult Dogs (10-25 kg)\, Bacon Flavor\, 28 Sticks\, 720 g",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61hB1pz8ceL._AC_UL320_.jpg,https://www.amazon.in/Pedigree-Dentastix-Medium-10-25kg-Monthly/dp/B01BBXRK7K/ref=sr_1_24?qid=1679214629&rdc=1&s=pet-supplies&sr=1-24,4.5,7332,,0.0
"BarkButler x FOFOS Poop Bag Refills\, Biodegradable Dog Poop Bags (Pack of 8) (136 Bags)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81R2zsd8jjL._AC_UL320_.jpg,https://www.amazon.in/BarkButler-FOFOS-Poop-Refills-Biodegradable/dp/B08R22HTTB/ref=sr_1_97?qid=1679214631&s=pet-supplies&sr=1-97,4.4,650,,99.0
"LIVEONCE Safest Round Organic Bird nest Purely Handmade Sparrow/Small Birds\, Material Type -Coir\,Color -Brown\, Set of 2 -...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81VgZ9hSQ0L._AC_UL320_.jpg,https://www.amazon.in/LIVEONCE-Safest-Organic-Handmade-Sparrow/dp/B085XBZ2J2/ref=sr_1_98?qid=1679214631&s=pet-supplies&sr=1-98,3.8,3706,19.0,99.0
"Vivaldis Endewor Natural Enzyme & Probiotic Based De-wormer for Dogs & Cats\, Kills & Expels Parasites - 1X10 Tablets",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/511QY7Po+IL._AC_UL320_.jpg,https://www.amazon.in/Vivaldis-Endewor-Natural-Deworming-Supplement/dp/B01C72NYE2/ref=sr_1_99?qid=1679214631&s=pet-supplies&sr=1-99,3.9,1536,0.0,30.0
"VI-FI Forte 1.34ml : Spot On for Prevention & Treatment of Fleas\, Ticks and Chewing lice infestation for Dogs Weighing fro...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61M4uVJtDoL._AC_UL320_.jpg,https://www.amazon.in/Vivaldis-Vi-Fi-Forte-10-20-Infestation/dp/B01FAWSMPC/ref=sr_1_100?qid=1679214631&s=pet-supplies&sr=1-100,4.1,1024,80.0,0.0
"Foodie Puppies Pet Massage Rubber Bath Glove for Dogs\, Cats\, Rabbit\, & Hamster | Grooming Shampoo Washing Soothing Bristle...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/718o4rL38HL._AC_UL320_.jpg,https://www.amazon.in/Foodie-Puppies-Shampoo-Colour-Bathing/dp/B076FPGHQX/ref=sr_1_101?qid=1679214631&s=pet-supplies&sr=1-101,4.0,5355,49.0,99.0
"Purepet Sea Food Adult Cat Food\, 6 kg",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71sXSnuTbwL._AC_UL320_.jpg,https://www.amazon.in/Purepet-Sea-Food-Adult-Cat/dp/B0BMGN18G1/ref=sr_1_102?qid=1679214631&s=pet-supplies&sr=1-102,4.2,1659,49.0,99.0
"PetWale Diamond Dog Martingale Collar - (Multicolour\, Medium)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/81IsGEbYBVL._AC_UL320_.jpg,https://www.amazon.in/PetWale-Diamond-Dog-Martingale-Collar/dp/B07QMLLNMG/ref=sr_1_9503?qid=1679214770&s=pet-supplies&sr=1-9503,3.6,48,,0.0
"Optimum 3 in 1 Pellet Fish Food for All Life Stages\, 100 G",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71LPwdd+V1L._AC_UL320_.jpg,https://www.amazon.in/Optimum-Fish-Food-100g/dp/B075DK5MMF/ref=sr_1_9504?qid=1679214770&s=pet-supplies&sr=1-9504,4.1,226,,10.0
